sõna,sihtsünohulk,suhtesoovitused,sihtsünohulga definitsioon,suhtega seotud soovitused
HULK,äravool.n.02,"{""Synset('ajavahemik.n.01')""}","kindla ajavahemiku jooksul valgalalt jõkke, järve, merre või mujale voolanud vee hulk (näiteks km3/a)",set()
HULK,enamik.n.01,"{""Synset('osa.n.01')"", ""Synset('osa.n.02')""}",suurem osa,set()
HULK,enamjagu.n.01,"{""Synset('osa.n.01')"", ""Synset('osa.n.02')""}","(hrl. koos partitiivis täiendiga) suurem osa, enam jagu (EKSS)",set()
HULK,rekordarv.n.01,"{""Synset('arv.n.02')""}","rekordiline arv, hulk (EKSS)",set()
HULK,vähemus.n.01,"{""Synset('osa.n.01')"", ""Synset('osa.n.02')""}",arvuliselt väiksem osa mingist rühmast vm. tervikust,set()
HULK,tarbimismaht.n.01,"{""Synset('ajavahemik.n.01')""}",perioodi jooksul elanikkonna poolt tarbitud kaupade ja teenuste füüsiline ehk naturaalne üldhulk,set()
HULK,kontiinum.n.01,"{""Synset('osa.n.01')"", ""Synset('arv.n.02')"", ""Synset('osa.n.02')""}","punktide või arvude pidev hulk; see, mis on pidev ja ühtlane, millest pole eraldi olevaid osi (EKSS)",set()
HULK,lisandus.n.01,"{""Synset('juurdekasv.n.01')""}","millelegi olemasolevale lisanduv kogus, kvantum",set()
HULK,tukk.n.04,"{""Synset('salk.n.04')""}","väike puude salk, ka muude taimede puhmas v. tutt avamaastikus (EKSS)",set()
HULK,tuhatkond.n.01,"{""Synset('arv.n.01')""}","arvult umbes tuhat, tuhande ringis (EKSS)",set()
HULK,rahvaarv.n.01,"{""Synset('arv.n.01')""}","teat. territooriumi, näit. riigi elanike arv (EKSS)",set()
HULK,skalaar.n.01,"{""Synset('arv.n.01')""}",üheainsa arvuga iseloomustatav suurus,set()
HULK,kontingent.n.01,"{""Synset('arv.n.01')""}","määratud arv v. kogus, määratud hulk",set()
HURTSIK,koobassaun.n.01,"{""Synset('saun.n.02')""}",etn pooleldi maa sisse ehitatud saun v saunakujuline elamu (EKSS),set()
HÕIKAMA,pruutama.v.01,"{""Synset('hüüatama.v.01')""}","""tpruu"" hüüatades hobust peatama (v. peatada püüdma) (EKSS)",set()
HÄIRE,müra.n.03,"{""Synset('häiring.n.01')""}","häiring, mis mõjutab signaali ning võib moonutada selle signaaliga kantavat informatsiooni",set()
HÄMARUS,keskööhämarus.n.01,"{""Synset('ööhämarus.n.01')""}",,set()
HÄVITAMA,kustutama.v.02,"{""Synset('pühkima.v.02')""}","kirjutatut, joonistatut vm. maha hõõruma, maha pühkima v. maha kriipsutama",set()
HÄVITAMA,põletama.v.02,"{""Synset('tapma.v.01')""}",tulega hävitama v. hukkama; tules põleda laskma,set()
HÄVITAMINE,ikonoklasm.n.01,"{""Synset('rüüstamine.n.01')""}","piltide vägivaldne eemaldamine ja hävitamine kirikutest, eriti 8., 9. saj Bütsantsis ja reformatsiooni ajal",set()
HÄÄL,kukeleegu.n.01,"{""Synset('laul.n.02')""}",annab edasi kuke kiremist (EKSS),set()
HÄÄLITSEMA,mökitama.v.01,"{""Synset('määgima.v.01')""}",katkendlikult määgima. kähisevalt katkendlikult naerma.,set()
HÄÄLITSEMA,larisema.v.01,"{""Synset('urisema.v.01')""}","larinal häälitsema, larinat kuuldavale tooma.  plärisema; lõrisema.",set()
HÄÄLITSEMA,lõõritama.v.01,"{""Synset('laulma.v.01')""}","(lõokese jt. lindude kohta:) heledalt, kõlavalt laulma. vibreerivalt, tooni vaheldades häälitsema.",set()
HÄÄLITSEMA,siutsuma.v.01,"{""Synset('sädistama.v.01')""}","(väikeste lindude kohta:) heledalt ja katkendlikult häälitsema. (väikeste lindude kohta:) siutsuma. silksuma. (peam. väike-lehelinnu kohta:) silkse kuuldavale laskma. lühidalt, järskude katkestustega siristama","{""Synset('sädistama.v.01')""}"
HÄÄLITSEMA,käratsema.v.01,"{""Synset('karjuma.v.02')"", ""Synset('karjuma.v.01')""}","(läbisegi) kisama, hõiklema, rääkima, valjusti häälitsema vms. (lindude, inimeste vm. kohta)",set()
HÄÄLITSEMA,kiljuma.v.01,"{""Synset('karjuma.v.02')"", ""Synset('karjuma.v.01')""}",heleda kõva häälega karjuma,set()
HÄÄLITSEMA,õhkama.v.01,"{""Synset('ohkama.v.01')""}",ohates häälitsema,set()
HÄÄLITSEMA,karjuma.v.02,"{""Synset('kutsuma.v.01')""}",kõva häälega rääkima v. hüüdma,set()
HÄÄLITSEMA,venitama.v.10,"{""Synset('laulma.v.01')"", ""Synset('hääldama.v.01')""}","pikkamisi, aeglaselt rääkima v. laulma; rääkides, lauldes häälikuid vms. normaalsest pikemalt hääldama; nooti pikemalt hoidma (EKSS)",set()
HÜPE,sammhüpe.n.01,"{""Synset('üleshüpe.n.01')""}",edasiliikumisel üleshüpe jalatõstega ette ning maandumine sellel,set()
HÜPE,põlvetõstehüpe.n.01,"{""Synset('üleshüpe.n.01')""}",üleshüpe põlvetõstega ette (EKSS),set()
HÜPE,nurkhüpe.n.01,"{""Synset('üleshüpe.n.01')""}","üleshüpe, mille sooritamisel jalad tõstetakse ette keha suhtes (täis)nurksesse asendisse (EKSS)",set()
HÜPE,sääretõstehüpe.n.01,"{""Synset('üleshüpe.n.01')""}",üleshüpe taha painutatud kehaga ja säärte tõstega,set()
HÜPE,sügavushüpe.n.01,"{""Synset('mahahüpe.n.01')""}",lihtne mahahüpe rippest v. kõrgemalt aluselt (algõpetuses õige maandumisoskuse omandamiseks) (EKSS),set()
HÜPE,jalavahetushüpe.n.01,"{""Synset('üleshüpe.n.01')""}","üleshüpe, vahetades õhus jalgade asendit",set()
HÜPE,pöördhüpe.n.01,"{""Synset('üleshüpe.n.01')""}",üleshüpe pööramisega ümber püsttelje (EKSS),set()
HÜPPAMA,volksama.v.01,"{""Synset('kapsama.v.01')""}","suure hüppega) kargama, (suurte hüpetega) kalpsama (EKSS)",set()
IDEE,entiteet.n.01,"{""Synset('asi.n.08')""}",elavate v. mitteelavate asjade tõeline olu,set()
IDEOLOOGIA,antiklerikalism.n.01,"{""Synset('kiriklus.n.01')""}",,"{""Synset('kiriklus.n.01')""}"
ILM,torm.n.01,"{""Synset('tuul.n.01')""}","väga tugev tuul; meteor. tuul, mille tugevus on suurem kui 9 palli (EKSS)","{""Synset('tuul.n.01')""}"
ILM,front.n.01,"{""Synset('tuul.n.01')"", ""Synset('sademed.n.01')""}","tinglik piir v. üleminekuvöönd erinevate omadustega õhumasside vahel (EKSS); kahe õhumassi eralduspind või üleminekuala temperatuuri, niiskuse, pilvisuse, sademete, tuule jm elementide järgi",set()
ILM,lumi.n.02,"{""Synset('sademed.n.01')""}",jääkristallidest v. nende kogumitest koosnevad tahked sademed,set()
ILM,põud.n.01,"{""Synset('sademed.n.01')""}","kestvalt kuiv (v. väheste sademetega) kuum ilmastik, mis ei võimalda taimedel rahuldada oma veetarve",set()
ILMUMA,idanema.v.02,"{""Synset('sündima.v.01')""}","arenema hakkama (mõtete, tunnete, ideede vms kohta) tekkima, sündima, ilmuma, esile tulema. (EKSS)",set()
ILUKIRJANDUS,maailmakirjandus.n.01,"{""Synset('rahvuskirjandus.n.01')""}",maailma rahvuskirjanduste ja nende seoste summa (EKSS),set()
IMITEERIMA,osatama.v.02,"{""Synset('jäljendama.v.02')""}",kedagi mõnitavalt kordama või parodeerima (EKSS),"{""Synset('jäljendama.v.02')""}"
INFO,video.n.04,"{""Synset('andmestik.n.02')"", ""Synset('andmed.n.03')""}",ühe või mitme pildina kuvamiseks sobiva vorminguga andmed,set()
INFO,tõendusmaterjal.n.01,"{""Synset('ainestik.n.01')""}","informatsioon, millele toetub tõestus",set()
INFORMEERIMA,välja kirjutama.v.02,"{""Synset('kirjutama.v.02')""}",kellegi lahkumist vormistama; välja registreerima (EKSS),set()
INFORMEERIMA,teatavaks tegema.v.01,"{""Synset('kuulutama.v.01')""}",kuulutama (EKSS); uudiseid teatama,set()
INFORMEERIMA,tunnistama.v.06,"{""Synset('rääkima.v.05')"", ""Synset('kuulutama.v.01')""}","oma usku kuulutama, avalikult oma usulistest elamustest rääkima (EKSS)",set()
INFORMEERIMA,proklameerima.v.01,"{""Synset('kuulutama.v.01')""}",avalikult välja kuulutama (EKSS),set()
INFORMEERIMA,lekitama.v.01,"{""Synset('rääkima.v.05')""}","(konfidentsiaalsuse nõudeid vms. rikkudes) kellelegi millestki teada andma, midagi välja rääkima, infol lekkida laskma",set()
INFORMEERIMA,notifitseerima.v.01,"{""Synset('teadustama.v.01')""}","kirjalikult teatama, teadustama (näit. mingit rahvusvahelise tähtsusega otsust teistele riikidele, veksli väljaandjale veksli protestimisest jne.) (EKSS)",set()
INFORMEERIMA,tühistama.v.01,"{""Synset('tunnistama.v.06')""}","millegi paikapidavust vm. ära muutma, mitte lubama",set()
INSTRUKTSIOON,retsept.n.01,"{""Synset('juhatus.n.02')""}",mingi segu koostise ja valmistamise kirjeldus.,set()
INSTRUMENT,optikariist.n.01,"{""Synset('mehhanism.n.01')""}","aparaat v. seade, mille konstruktsioonis on rakendatud optika seadusi",set()
INSTRUMENT,tulemasin.n.01,"{""Synset('masin.n.01')""}",,set()
INSTRUMENT,piiramismasin.n.01,"{""Synset('mehhanism.n.01')"", ""Synset('masin.n.01')""}",kindlustatud objekti piiramisel kasutatud seadeldis (EKSS),set()
INSTRUMENT,rehv.n.01,"{""Synset('pöid.n.02')"", ""Synset('ratas.n.01')""}","sõiduki ratta pöida ümbritsev võru, rõngas",set()
INSTRUMENT,ratas.n.01,"{""Synset('masin.n.01')"", ""Synset('pöid.n.02')"", ""Synset('rumm.n.02')"", ""Synset('kodar.n.01')"", ""Synset('telg.n.02')""}","keskpunkti läbiva telje ümber pöörlev kettakujuline või rummust, kodaratest ja pöiast koosnev töö- ja transpordimasinate osa",set()
INSTRUMENT,komposter.n.01,"{""Synset('mehhanism.n.01')""}","seade piletite, talongide, tšekkide vms. märgistamiseks aukude v. aukkujutistega.",set()
INSTRUMENT,kiirendi.n.03,"{""Synset('mehhanism.n.01')""}",seade laenguga osakeste ja ioonide kineetilise energia suurendamiseks (EKSS),set()
INSTRUMENT,Geigeri toru.n.01,"{""Synset('mõõteriist.n.01')""}",radioaktiivsuse mõõteriist,set()
INSTRUMENT,ergomeeter.n.01,"{""Synset('mehhanism.n.01')""}","seade, mille abil mõõdetakse lihaskoormust nii, et on võimalik välja arvutada sooritatud lihastöö hulka",set()
INSTRUMENT,rumm.n.02,"{""Synset('ratas.n.01')"", ""Synset('telg.n.02')""}","ratta tugev keskosa, milles on ava võlli v. telje tarvis","{""Synset('telg.n.02')""}"
INSTRUMENT,hukkamisriist.n.01,"{""Synset('mehhanism.n.01')""}",,set()
INSTRUMENT,gustomeeter.n.01,"{""Synset('mõõteriist.n.01')""}",kõige nõrgema tajutava maitse määramiseks kasutatav mõõteriist,set()
INSTRUMENT,velg.n.01,"{""Synset('ratas.n.01')"", ""Synset('rumm.n.02')"", ""Synset('rehv.n.01')""}",rummu ja rehvi vaheline kilbitaoline osa rattal,"{""Synset('rumm.n.02')"", ""Synset('rehv.n.01')""}"
INSTRUMENT,liikur.n.01,"{""Synset('mehhanism.n.01')"", ""Synset('masin.n.01')""}","seliikuv masin, mehhanism, seade vms (EKSS)",set()
INSTRUMENT,pöid.n.02,"{""Synset('rumm.n.02')"", ""Synset('kodar.n.01')""}","rattaringi äärmine kaarjas osa, mida ühendavad rummuga kaks kodarat","{""Synset('rumm.n.02')"", ""Synset('kodar.n.01')""}"
INSTRUMENT,haspel.n.01,"{""Synset('telg.n.02')""}",rõhttelje ümber pöörlev nelja tiivaga riist lõnga vihti ajamiseks (EKSS),set()
INSTRUMENT,kodar.n.01,"{""Synset('ratas.n.01')"", ""Synset('pöid.n.02')"", ""Synset('rumm.n.02')""}",rummu ja pöida ühendav pulga- v. varvataoline ratta osa,"{""Synset('pöid.n.02')"", ""Synset('rumm.n.02')""}"
INSTRUMENT,rihm.n.02,"{""Synset('ratas.n.01')""}",hõõrdejõudude toimel liikumist ja pöördemomenti ühelt rattalt teisele üle kandev painduv vaheelement,set()
INSTRUMENT,terariist.n.02,"{""Synset('relv.n.01')"", ""Synset('tööriist.n.01')""}",teraga varustatud tööriist v. relv (EKSS),set()
INSTRUMENT,bass.n.01,"{""Synset('orkestripill.n.01')""}","kontrabass, tuuba vm. orkestripill madalaima häälepartii esitamiseks",set()
INSTRUMENT,alt.n.01,"{""Synset('puhkpill.n.01')""}",madala registriga keel- v. puhkpill (eriti altviiuli ehk vioola kohta),set()
INSTRUMENT,klahvpill.n.01,"{""Synset('orel.n.01')""}","klahvistikku omav pill (näit. klaver, orel)",set()
ISTE,kutsaripukk.n.01,"{""Synset('pukk.n.03')""}",kutsari kõrgem iste tõlla või saani esiosas (EKSS),set()
ISTUNG,aastakoosolek.n.01,"{""Synset('üldkoosolek.n.01')""}",äriühingu üldkoosolek,set()
ISTUNG,assamblee.n.01,"{""Synset('pleenum.n.01')"", ""Synset('üldkoosolek.n.01')""}","(riikliku v. rahvusvahelise organi) täiskogu, üldkoosolek",set()
JAHU,rukkijahu.n.01,"{""Synset('püül.n.01')""}",rukkist jahvatatud jahu,set()
JOOK,tee.n.05,"{""Synset('vesi.n.03')""}","jook, mida saadakse (purustatud) teelehtede leotamisel vees",set()
JOOK,kokteil.n.01,"{""Synset('alkohol.n.01')""}",mitme joogi segamisel saadud külm alkohoolne v. alkoholita jook (EKSS),set()
JOOK,kali.n.01,"{""Synset('vesi.n.03')"", ""Synset('mahl.n.01')""}","linnaste, jahu v. leiva leotisest, samuti mahlast vm. ainest pärmi toimel kääritatud jook, ka jahule (v. leivale) valatud veest hapendatud jook, taar (EKSS)",set()
JOOK,karastusjook.n.01,"{""Synset('alkohol.n.01')""}",alkoholita v. väga väikese alkoholisisaldusega gaseeritud jook,set()
JOOK,soodavesi.n.01,"{""Synset('vesi.n.03')""}",soodat sisaldav tööstuslikult valmistatud kihisev jook,set()
JOOK,morss.n.01,"{""Synset('vesi.n.03')"", ""Synset('mahl.n.01')""}",hapukasmagus jook veest ja mahlast,set()
JOOK,bool.n.01,"{""Synset('mahl.n.01')""}",külm jook lahjendatud veinist (ka mahlast ja limonaadist) puuvilja v. marjadega (EKSS),set()
JOOK,glögi.n.01,"{""Synset('alkohol.n.01')"", ""Synset('mahl.n.01')""}","kuum puuviljamahlast tehtud jook, mis vahel sisaldab ka alkoholi",set()
JOOKS,vahejooks.n.01,"{""Synset('eeljooks.n.01')"", ""Synset('finaaljooks.n.01')""}",lõppjooksus osalejate väljaselgitamiseks eeljooksude järel korraldatav jooksuvõistlus (EKSS),set()
JOOKSMA,nõrguma.v.01,"{""Synset('valguma.v.01')""}",nire(de)na v. tilkadena valguma,set()
JOON,ebastabiilsus.n.01,"{""Synset('stabiilsus.n.01')""}",< püsimatu kõikuv olek; ebakindlus. muutuv-olek; võime muutuda.,set()
JOON,tähtsusetus.n.01,"{""Synset('tähtsus.n.01')""}",,set()
JOON,ilu.n.01,"{""Synset('köitvus.n.01')""}","kaunidus, veetlevus (nii välisena kui ka abstraktsemana, esteetilise kategooriana vms.)",set()
JOON,ebaloomulikkus.n.02,"{""Synset('ehtsus.n.01')""}",mitteloomulik olek,set()
JOON,ebamugavus.n.01,"{""Synset('mugavus.n.01')""}",ebamugav; ebamugav asjaolu (EKSS),set()
JOON,ebaloogilisus.n.01,"{""Synset('loogilisus.n.01')""}",,set()
JOON,samasus.n.01,"{""Synset('vastavus.n.02')""}","üksühene vastavus, üks ja seesama olemine.",set()
JOON,arusaamatus.n.02,"{""Synset('abitus.n.01')""}","mittearusaamine, mittemõistmine",set()
JOON,ametkondlikkus.n.01,"{""Synset('huvi.n.02')""}",ainult ametkondlike huvide silmaspidamine,set()
JOON,ebatäpsus.n.01,"{""Synset('täpsus.n.01')""}",,"{""Synset('täpsus.n.01')""}"
JOON,väärus.n.01,"{""Synset('õigsus.n.01')""}",,"{""Synset('õigsus.n.01')""}"
JOON,lihtsus.n.01,"{""Synset('keerukus.n.02')"", ""Synset('arusaadavus.n.01')""}","(ehituse, koostise v. sooritatavuse, kasutatavuse, mõistetavuse jm. poolest) keerukuseta","{""Synset('keerukus.n.02')""}"
JOON,inimvaenulikkus.n.01,"{""Synset('humaansus.n.02')""}",,"{""Synset('humaansus.n.02')""}"
JOON,illegaalsus.n.02,"{""Synset('seaduslikkus.n.01')""}",,set()
JOON,ebaõiglus.n.01,"{""Synset('õiglus.n.01')""}",,"{""Synset('õiglus.n.01')""}"
JOON,asjatundmatus.n.01,"{""Synset('kompetentsus.n.01')""}",mitteasjatundlikkus (EKSS),"{""Synset('kompetentsus.n.01')""}"
JOON,mitteadekvaatsus.n.01,"{""Synset('vastavus.n.02')"", ""Synset('samasus.n.01')""}",,"{""Synset('vastavus.n.02')""}"
JOON,lõpetamatus.n.01,"{""Synset('lõpetatus.n.01')""}","lõpetamata olek, mittelõpetatus.","{""Synset('lõpetatus.n.01')""}"
JOON,dramatism.n.01,"{""Synset('tõsidus.n.01')""}","olukorra, tegevuse, suhete eriline pingelisus, seisukorra tõsidus v. raskus",set()
JOON,mugavus.n.01,"{""Synset('mõnu.n.01')""}","rahuldust, mõnu pakkuv, head enesetunnet tekitav, kõike häirivat välistav omadus",set()
JOON,solidaarsus.n.01,"{""Synset('huvi.n.02')""}",huvide ühtsus,set()
JOON,eksootilisus.n.01,"{""Synset('eripära.n.01')"", ""Synset('siinpoolsus.n.01')""}","võõrapärasus, võõramaisus, (eriti ida- v. lõunamaine) omapärasus","{""Synset('eripära.n.01')""}"
JOON,ebatasuvus.n.01,"{""Synset('kasulikkus.n.01')""}",,"{""Synset('kasulikkus.n.01')""}"
JOON,anoomia.n.01,"{""Synset('väärtus.n.01')""}","üldtunnustatud normide ja väärtuste puudumine, mille põhjuseks on ühiskonna vana väärtussüsteemi lagunemine",set()
JOON,ebatõepärasus.n.01,"{""Synset('elulisus.n.02')"", ""Synset('tõepärasus.n.01')""}",,"{""Synset('tõepärasus.n.01')""}"
JOON,ebavõrdsus.n.01,"{""Synset('võrdsus.n.02')"", ""Synset('võrdsus.n.01')""}",,"{""Synset('võrdsus.n.01')""}"
JOON,intonatsioon.n.03,"{""Synset('täpsus.n.01')""}",helide ja intervallide helikõrguslik täpsus ettekandel; meloodia kõige väiksem iseseisev väljenduslik osa (EKSS),set()
JOON,abstraktsus.n.01,"{""Synset('konkreetsus.n.01')"", ""Synset('täpsus.n.01')""}",mittekonkreetsus,"{""Synset('konkreetsus.n.01')""}"
JOON,välimus.n.01,"{""Synset('aspekt.n.01')""}",millegi v. kellegi välised tunnused,set()
JOON,metsikus.n.01,"{""Synset('humaansus.n.02')""}",,set()
JOON,spetsiifika.n.01,"{""Synset('iseärasus.n.01')""}","eristavate iseärasuste, eriomaste joonte kogum (EKSS)",set()
JOON,vastuolu.n.01,"{""Synset('erinevus.n.01')""}","lahkheli, erinevus millegi vahel",set()
JOON,arusaadavus.n.01,"{""Synset('otstarve.n.01')""}",keele v. mõtete mõistmise omadus,set()
JOON,kehtetus.n.01,"{""Synset('kehtivus.n.01')""}",<< kehtetu.,"{""Synset('kehtivus.n.01')""}"
JOON,ebameeldivus.n.01,"{""Synset('mõnu.n.01')""}",,"{""Synset('mõnu.n.01')""}"
JOON,ortodoksia.n.01,"{""Synset('otstarve.n.01')""}",range kinnipidamine ametlikult õigeks peetavatest põhimõtetest,set()
JOON,taevaekvaator.n.01,"{""Synset('ekvaator.n.01')""}",Maa ekvaatori projektsioon taevasfääril,set()
JOON,ekliptika.n.01,"{""Synset('lõikejoon.n.01')""}","joon taevasfääril, mida mööda toimub Päikese aastane näiv liikumine ehk Maa orbiidi tasandi ja taevasfääri lõikejoon",set()
JOON,voolujoon.n.01,"{""Synset('tee.n.06')"", ""Synset('suund.n.02')""}",vedeliku v. gaasi osakese liikumistee (EKSS),set()
JOON,lennujoon.n.01,"{""Synset('tee.n.06')"", ""Synset('suund.n.02')""}",läbi õhu paiskuva keha liikumistee (EKSS),set()
JOON,meridiaan.n.01,"{""Synset('ekvaator.n.01')""}","kujuteldav joon, mis läbib Maa poolusi ning vaatluskohta ja lõikub ekvaatoriga täisnurgi",set()
JOON,siksakjoon.n.01,"{""Synset('tee.n.06')"", ""Synset('suund.n.02')""}",siksakiline joon v. kulgemistee (EKSS),set()
JOON,rinne.n.01,"{""Synset('liin.n.01')""}",vastasega kokkupuutumise joon sõjatandril (lahinguväljal); see territoorium,set()
JOON,abijoon.n.01,"{""Synset('maailmatelg.n.01')""}","(eriti joonestamisel:) abiks olev, põhijoonest peenem joon, näit. telg-, mõõt-, viirutusjoon (EKSS)",set()
JOON,laskejoon.n.01,"{""Synset('maailmatelg.n.01')""}",tulirelva rauaõõne telje mõtteline pikendus enne lasku (EKSS),set()
JOON,laiuskraad.n.01,"{""Synset('ekvaator.n.01')"", ""Synset('meridiaan.n.01')""}","1/360 Maa meridiaanist, sellise laiusega (u. 111 km) ekvaatoriga paralleelne mõtteline vöönd maakerast",set()
JOON,lõuajoon.n.01,"{""Synset('piirjoon.n.01')""}",lõua piirjoon (EKSS),set()
JOON,vabakäejoon.n.01,"{""Synset('käejoon.n.01')""}",,set()
JOON,kruvijoon.n.01,"{""Synset('maailmatelg.n.01')"", ""Synset('suund.n.02')""}","joon, mille kujundab punkt ühtlasel tiirlemisel mingi telje ümber ja samaaegsel ühtlasel nihkumisel telje sihis (EKSS)",set()
JOON,neeldumisjoon.n.01,"{""Synset('spektrijoon.n.01')""}",valguse neeldumist näitav spektrijoon (EKSS),set()
JOON,jõujoon.n.01,"{""Synset('suund.n.02')""}",jõuvälja graafilisel kujutamisel jõu sihti näitav joon (EKSS),set()
JUHATAJA,õppealajuhataja.n.01,"{""Synset('direktor.n.01')""}",direktori asetäitja õppe- ja kasvatustöö alal (EKSS),set()
JUHE,traatliin.n.01,"{""Synset('kaabel.n.01')""}",sidekaablil kaks keerutatud vasksoont,set()
JUHE,elektrijuhe.n.01,"{""Synset('kaabel.n.01')""}","elektrivoolu edasiandmiseks määratud metalltraat, -tross vm.",set()
JUHINDUMA,kinni pidama.v.03,"{""Synset('lähtuma.v.04')""}","oma tegutsemises, toimimises midagi arvestama, ettekirjutatust, ettenähtust lähtuma ja vastavaid nõudeid täitma, midagi järgima","{""Synset('lähtuma.v.04')""}"
JUHT,kohtuasi.n.01,"{""Synset('asi.n.07')""}","kohtule menetleda antud juhtum, mis on õigusega reguleeritav (EKSS)",set()
JUHT,pidamine.n.02,"{""Synset('tähistamine.n.01')""}","millegi läbiviimine, tähistamine, veetmine vms.",set()
